player_name,year,avg_points,pos_rank,total_points
David Fales,2021,0.0,QB0,0.0
Ryan Grant,2021,0.0,WR0,0.0
Josh Jacobs,2021,13.27,RB14,199.0
Gunner Olszewski,2021,0.31,WR194,5.0
TJ Jones,2021,0.0,WR0,0.0
Quincy Enunwa,2021,0.0,WR0,0.0
James White,2021,8.4,RB97,25.2
Cade Johnson,2021,0.0,WR0,0.0
J.D. McKissic,2021,9.67,RB44,106.4
Devonta Freeman,2021,8.1,RB31,129.6
De'Anthony Thomas,2021,0.0,WR0,0.0
Chad Beebe,2021,0.0,WR0,0.0
Trey Burton,2021,0.0,TE0,0.0
David Fluellen,2021,0.0,RB0,0.0
Bennie Fowler,2021,0.0,WR0,0.0
Lamar Jackson,2021,19.93,QB16,239.1
Albert Wilson,2021,3.23,WR126,35.5
Cody Parkey,2021,3.0,K45,3.0
Nyheim Hines,2021,5.45,RB53,92.6
Jakobi Meyers,2021,9.05,WR33,144.8
Deontay Burnett,2021,0.0,WR0,0.0
Caleb Wilson,2021,0.0,TE0,0.0
Diontae Johnson,2021,13.81,WR9,220.9
Allen Hurns,2021,0.0,WR0,0.0
Tyler Mabry,2021,0.0,TE119,0.0
Tre Nixon,2021,0.0,WR0,0.0
Dominik Eberle,2021,12.0,K42,12.0
DK Metcalf,2021,12.16,WR12,206.8
Carson Wentz,2021,15.11,QB13,256.9
A.J. Brown,2021,11.49,WR32,149.4
K.J. Osborn,2021,7.85,WR38,133.5
Tyree Jackson,2021,1.94,TE84,9.7
Roosevelt Nix,2021,0.0,RB0,0.0
John Ursua,2021,0.0,WR0,0.0
Willie Snead IV,2021,0.83,WR187,5.8
Tajae Sharpe,2021,2.54,WR126,35.5
Keith Smith,2021,0.94,RB117,13.2
LeVante Bellamy,2021,0.0,RB0,0.0
Xavier Grimble,2021,0.0,TE0,0.0
Damien Williams,2021,4.39,RB71,52.7
Jay Ajayi,2021,0.0,RB0,0.0
Chris Boswell,2021,9.29,K4,158.0
Scott Simonson,2021,0.0,TE0,0.0
N'Keal Harry,2021,2.24,WR145,22.4
Frank Darby,2021,0.38,WR214,1.9
Seth Roberts,2021,0.0,WR0,0.0
