player_name,year,ppg,pos_rank,total_points,pos
Jaron Brown,2020,0.0,0,0.0,WR
Salvon Ahmed,2020,10.58,68,63.5,RB
Hunter Bryant,2020,0.98,92,4.9,TE
Mike Weber,2020,0.0,0,0.0,RB
Trishton Jackson,2020,0.0,0,0.0,WR
Russell Shepard,2020,0.0,0,0.0,WR
Chase Claypool,2020,11.49,23,183.9,WR
Josh Lambo,2020,7.0,36,28.0,K
Tyler Bray,2020,0.72,72,0.72,QB
Tony Jones Jr.,2020,1.3,0,1.3,RB
DeMichael Harris,2020,2.5,155,17.5,WR
Demetrius Harris,2020,0.53,80,8.0,TE
Brandon McManus,2020,8.67,13,130.0,K
Jared Pinkney,2020,0.0,0,0.0,TE
Nick Williams,2020,0.0,0,0.0,WR
Zach Line,2020,0.0,0,0.0,RB
DeShone Kizer,2020,0.0,0,0.0,QB
Gabriel Davis,2020,7.46,57,119.4,WR
Janarion Grant,2020,0.0,0,0.0,WR
Tony Brown,2020,0.0,214,0.0,WR
Matt Flanagan,2020,0.0,0,0.0,TE
Keke Coutee,2020,8.81,97,70.5,WR
Adam Thielen,2020,14.47,8,217.0,WR
Donnie Ernsberger,2020,0.0,0,0.0,TE
Brett Maher,2020,0.0,0,0.0,K
Andre Patton,2020,0.0,0,0.0,WR
Jack Doyle,2020,3.76,40,52.6,TE
Tyler Johnson,2020,2.49,124,34.9,WR
Miles Boykin,2020,3.76,105,60.1,WR
Lynn Bowden Jr.,2020,3.96,85,39.58,RB
Josh Adams,2020,4.2,93,33.6,RB
Cole Wick,2020,0.0,0,0.0,TE
Gary Jennings,2020,0.0,0,0.0,WR
Dexter Williams,2020,0.27,157,0.8,RB
Equanimeous St. Brown,2020,1.82,144,21.9,WR
Mo Alie-Cox,2020,4.33,27,64.9,TE
Alize Mack,2020,0.0,0,0.0,TE
Jalen Guyton,2020,5.19,71,83.1,WR
Blake Bortles,2020,0.0,0,0.0,QB
Sammy Watkins,2020,6.89,87,68.9,WR
Teddy Bridgewater,2020,16.08,17,241.22,QB
Kelvin Benjamin,2020,0.0,0,0.0,WR
Brandin Cooks,2020,12.77,28,191.5,WR
Eric Ebron,2020,7.59,12,113.8,TE
Odell Beckham Jr.,2020,10.76,78,75.32,WR
Tony Pollard,2020,6.67,41,106.7,RB
Mike Evans,2020,13.35,9,213.6,WR
Derek Carr,2020,17.01,14,272.12,QB
Jimmy Garoppolo,2020,10.72,38,64.34,QB
Isaiah Zuber,2020,1.5,178,6.0,WR
Jordan Matthews,2020,0.0,214,0.0,WR
Carlos Hyde,2020,7.69,52,76.9,RB
Paul Richardson Jr.,2020,0.0,0,0.0,WR
Jerick McKinnon,2020,6.86,39,109.7,RB
Richard Rodgers,2020,4.18,32,58.5,TE
Marqise Lee,2020,0.0,0,0.0,WR
Jarvis Landry,2020,10.13,34,151.96,WR
Donte Moncrief,2020,0.4,201,2.4,WR
Cody Latimer,2020,0.0,0,0.0,WR
Austin Seferian-Jenkins,2020,0.0,0,0.0,TE
Allen Robinson II,2020,13.24,10,211.9,WR
Davante Adams,2020,21.49,1,300.9,WR
KhaDarel Hodge,2020,2.61,150,23.5,WR
Jeremy Hill,2020,0.0,0,0.0,RB
John Brown,2020,8.92,90,80.3,WR
James Proche II,2020,0.14,205,1.9,WR
Xavier Jones,2020,0.0,163,0.0,RB
Garrett Gilbert,2020,14.52,52,14.52,QB
AJ McCarron,2020,0.4,74,0.8,QB
Logan Thomas,2020,8.79,6,140.62,TE
David Fales,2020,0.0,0,0.0,QB
Ryan Grant,2020,0.0,0,0.0,WR
Josh Jacobs,2020,14.32,9,214.8,RB
Gunner Olszewski,2020,1.77,147,23.0,WR
TJ Jones,2020,0.0,0,0.0,WR
Martavis Bryant,2020,0.0,0,0.0,WR
Quincy Enunwa,2020,0.0,0,0.0,WR
James White,2020,6.58,51,92.1,RB
Alfred Blue,2020,0.0,0,0.0,RB
J.D. McKissic,2020,9.46,23,151.4,RB
Devonta Freeman,2020,6.5,84,32.5,RB
De'Anthony Thomas,2020,0.0,0,0.0,WR
Bruce Ellington,2020,0.0,0,0.0,WR
Chad Beebe,2020,2.86,129,40.1,WR
Kapri Bibbs,2020,0.0,0,0.0,RB
Trey Burton,2020,5.33,24,69.3,TE
Chandler Catanzaro,2020,0.0,0,0.0,K
David Fluellen,2020,0.0,0,0.0,RB
Bennie Fowler,2020,0.42,203,2.1,WR
Lamar Jackson,2020,22.19,8,332.78,QB
Albert Wilson,2020,0.0,0,0.0,WR
Cody Parkey,2020,7.13,24,107.0,K
Erik Swoope,2020,0.0,0,0.0,TE
Nyheim Hines,2020,10.11,21,161.7,RB
Jakobi Meyers,2020,8.07,61,113.02,WR
Deontay Burnett,2020,1.7,191,3.4,WR
Caleb Wilson,2020,0.0,112,0.0,TE
Isaiah Crowell,2020,0.0,0,0.0,RB
Diontae Johnson,2020,11.85,20,177.8,WR
Ryan Hewitt,2020,0.0,0,0.0,TE
Allen Hurns,2020,0.0,0,0.0,WR
Freddie Martino,2020,0.0,0,0.0,WR
DK Metcalf,2020,14.36,5,229.8,WR
Carson Wentz,2020,16.53,21,198.4,QB
A.J. Brown,2020,15.18,14,212.5,WR
K.J. Osborn,2020,0.0,214,0.0,WR
Tyree Jackson,2020,0.0,0,0.0,QB
Roosevelt Nix,2020,0.0,0,0.0,RB
John Ursua,2020,0.0,0,0.0,WR
Willie Snead IV,2020,5.98,76,77.7,WR
Andy Jones,2020,0.0,0,0.0,WR
Charcandrick West,2020,0.0,0,0.0,RB
Tajae Sharpe,2020,0.0,214,0.0,WR
Keith Smith,2020,0.76,114,12.1,RB
LeVante Bellamy,2020,0.42,144,2.1,RB
Leonte Carroo,2020,0.0,0,0.0,WR
Xavier Grimble,2020,0.0,0,0.0,TE
Damien Williams,2020,0.0,0,0.0,RB
Jay Ajayi,2020,0.0,0,0.0,RB
Chris Boswell,2020,7.62,25,99.0,K
Scott Simonson,2020,0.0,0,0.0,TE
N'Keal Harry,2020,4.1,101,57.4,WR
Seth Roberts,2020,0.73,182,5.1,WR
Senorise Perry,2020,0.13,156,0.9,RB
Cairo Santos,2020,8.56,11,137.0,K
Taylor Gabriel,2020,0.0,0,0.0,WR
Cameron Brate,2020,3.39,35,54.2,TE
Diontae Spencer,2020,1.09,167,12.0,WR
Trevor Davis,2020,0.0,0,0.0,WR
Sergio Castillo,2020,5.17,34,31.0,K
Adam Vinatieri,2020,0.0,0,0.0,K
Kerryon Johnson,2020,3.89,63,62.3,RB
Will Hastings,2020,0.0,0,0.0,WR
Tyler Higbee,2020,7.08,17,106.2,TE
Kahale Warring,2020,0.71,91,5.0,TE
Darius Slayton,2020,7.25,48,116.0,WR
Trenton Cannon,2020,0.46,130,6.4,RB
Taquan Mizzell,2020,0.0,0,0.0,WR
James O'Shaughnessy,2020,2.68,47,40.2,TE
Chester Rogers,2020,0.0,0,0.0,WR
Bisi Johnson,2020,1.74,130,27.9,WR
Davion Davis,2020,0.0,0,0.0,WR
Alexander Mattison,2020,6.18,66,80.4,RB
Omar Bayless,2020,0.0,0,0.0,WR
James Williams,2020,0.0,0,0.0,RB
Phil Dawson,2020,0.0,0,0.0,K
Pharoh Cooper,2020,0.61,174,9.8,WR
Elliott Fry,2020,4.0,41,4.0,K
Tyler Bass,2020,9.44,4,151.0,K
Troymaine Pope,2020,2.63,105,15.8,RB
David Johnson,2020,13.58,24,163.0,RB
Kyler Murray,2020,23.67,2,378.74,QB
Antony Auclair,2020,0.0,112,0.0,TE
MyCole Pruitt,2020,2.31,60,25.4,TE
David Williams,2020,0.0,0,0.0,RB
Brian Parker,2020,0.0,0,0.0,TE
Dare Ogunbowale,2020,1.78,106,24.9,RB
Tyler Ervin,2020,2.58,95,20.6,RB
Ja'Marcus Bradley,2020,2.83,173,8.5,WR
Brandon Wright,2020,1.0,43,1.0,K
Malik Taylor,2020,1.07,157,16.0,WR
Penny Hart,2020,0.21,197,2.7,WR
Ke'Shawn Vaughn,2020,2.08,92,20.8,RB
Brandon Zylstra,2020,0.32,182,5.1,WR
Lance Lenoir Jr.,2020,0.0,0,0.0,WR
Rashard Davis,2020,0.0,0,0.0,WR
Alec Ingold,2020,1.46,90,23.4,RB
Rico Gafford,2020,0.0,214,0.0,WR
Nathan Cottrell,2020,0.0,163,0.0,RB
Daniel Jones,2020,12.86,24,180.02,QB
Antonio Gibson,2020,13.16,13,184.2,RB
Mark Walton,2020,0.0,0,0.0,RB
Lawrence Cager,2020,2.25,189,4.5,WR
Jace Sternberger,2020,1.95,64,23.4,TE
Steven Sims Jr.,2020,3.65,115,43.8,WR
Hakeem Butler,2020,0.0,214,0.0,WR
Sebastian Janikowski,2020,0.0,0,0.0,K
Olamide Zaccheaus,2020,3.95,113,43.4,WR
Brandon Allen,2020,9.94,41,49.7,QB
Devante Mays,2020,0.0,0,0.0,RB
Brycen Hopkins,2020,0.0,112,0.0,TE
Chad Williams,2020,0.0,0,0.0,WR
Brandon Aiyuk,2020,12.88,31,154.5,WR
Dan Arnold,2020,5.08,23,81.3,TE
C.J. Uzomah,2020,9.35,70,18.7,TE
Brandon Powell,2020,1.57,139,23.6,WR
Will Grier,2020,0.0,0,0.0,QB
Alex Armah,2020,0.33,133,5.2,RB
Nick Boyle,2020,3.37,54,30.3,TE
Chad Hansen,2020,7.62,121,38.1,WR
David Moore,2020,6.33,58,101.3,WR
Sammie Coates Jr.,2020,0.0,0,0.0,WR
Anthony Firkser,2020,4.01,30,64.2,TE
Duke Williams,2020,0.0,214,0.0,WR
Cam Sims,2020,4.39,95,70.2,WR
Tarik Cohen,2020,4.83,111,14.5,RB
Tom Brady,2020,21.12,9,337.92,QB
Josh Malone,2020,1.2,186,4.8,WR
Jalen Hurd,2020,0.0,0,0.0,WR
Josh Reynolds,2020,6.14,65,98.3,WR
Jawill Davis,2020,0.0,0,0.0,WR
Jeff Driskel,2020,10.03,45,30.08,QB
Kyle Allen,2020,11.25,42,45.0,QB
Russell Gage,2020,9.07,41,145.06,WR
Darrel Williams,2020,2.84,76,45.5,RB
DJ Chark Jr.,2020,9.78,40,127.1,WR
Jakob Johnson,2020,0.84,112,13.5,RB
Jerome Cunningham,2020,0.0,0,0.0,TE
Malachi Dupre,2020,0.0,0,0.0,WR
Trey Quinn,2020,0.0,214,0.0,WR
Leonard Fournette,2020,8.77,37,114.0,RB
Daniel Helm,2020,0.0,112,0.0,TE
Cody Hollister,2020,0.85,208,1.7,WR
Younghoe Koo,2020,11.07,2,166.0,K
Matt Breida,2020,3.12,82,37.5,RB
Kyle Lauletta,2020,0.0,0,0.0,QB
Anthony Johnson,2020,0.0,0,0.0,WR
Rodney Anderson,2020,0.0,0,0.0,RB
Robby Anderson,2020,11.04,17,176.6,WR
Josh Allen,2020,24.72,1,395.56,QB
Drew Brees,2020,17.46,22,209.48,QB
Tommylee Lewis,2020,0.48,199,2.4,WR
Cole Hikutini,2020,0.0,0,0.0,TE
Gerald Everett,2020,4.53,25,72.4,TE
Geronimo Allison,2020,0.0,0,0.0,WR
Codey McElroy,2020,0.0,0,0.0,TE
Malik Turner,2020,0.0,214,0.0,WR
Justin Jefferson,2020,14.39,7,230.2,WR
Anthony Miller,2020,5.26,73,84.2,WR
Tanner Hudson,2020,0.51,88,5.6,TE
Jake Elliott,2020,4.38,29,70.0,K
Marken Michel,2020,0.0,214,0.0,WR
Rob Kelley,2020,0.0,0,0.0,RB
Rodney Smith,2020,4.57,91,32.0,RB
Clayton Thorson,2020,0.0,0,0.0,QB
Chris Godwin,2020,13.21,38,158.5,WR
Mike Gesicki,2020,8.85,7,132.8,TE
Brett Rypien,2020,3.77,56,11.3,QB
Jason Cabinda,2020,0.11,148,1.8,RB
Justin Jackson,2020,6.2,77,55.8,RB
Garrett Dickerson,2020,0.0,0,0.0,TE
Trace McSorley,2020,4.65,58,9.3,QB
David Blough,2020,1.76,68,1.76,QB
Kerrith Whyte,2020,0.0,0,0.0,RB
Josh Rosen,2020,0.0,0,0.0,QB
Darwin Thompson,2020,2.12,137,29.7,RB
Mason Rudolph,2020,3.67,76,18.36,QB
Tyreek Hill,2020,19.03,2,285.4,WR
Mark Andrews,2020,10.08,5,141.1,TE
Samaje Perine,2020,3.76,65,60.2,RB
Joe Mixon,2020,14.85,47,89.1,RB
Carson Meier,2020,0.0,0,0.0,TE
Quez Watkins,2020,3.35,152,20.1,WR
Jauan Jennings,2020,0.0,0,0.0,WR
Dalvin Cook,2020,22.56,2,315.8,RB
Josh McCown,2020,0.0,0,0.0,QB
Alex Barnes,2020,0.0,0,0.0,RB
Shaun Wilson,2020,0.0,0,0.0,RB
Austin Proehl,2020,0.0,0,0.0,WR
Elijhaa Penny,2020,0.32,135,4.5,RB
Reggie Bonnafon,2020,7.85,106,15.7,RB
Jaylen Samuels,2020,0.85,115,11.9,RB
Wil Lutz,2020,8.12,15,130.0,K
Ben Braunecker,2020,0.0,0,0.0,TE
Josh Doctson,2020,0.0,0,0.0,WR
Alex Bachman,2020,0.0,214,0.0,WR
Tony Brooks-James,2020,0.4,161,0.4,RB
Chris Carson,2020,14.11,16,169.3,RB
Myles Gaskin,2020,14.37,29,143.7,RB
Matt LaCosse,2020,0.0,0,0.0,TE
P.J. Walker,2020,2.13,57,8.52,QB
Josh Ferguson,2020,0.0,0,0.0,RB
Mike White,2020,0.0,0,0.0,QB
Ezekiel Elliott,2020,13.18,10,197.7,RB
Marcus Baugh,2020,0.09,111,0.7,TE
Deonte Harris,2020,4.19,118,37.7,WR
Brandon Dillon,2020,0.37,108,1.1,TE
Boston Scott,2020,5.19,54,83.1,RB
Dwayne Washington,2020,0.14,150,1.5,RB
J.J. Jones,2020,0.0,0,0.0,WR
Nick Keizer,2020,0.46,83,7.3,TE
Jeff Heuerman,2020,0.0,0,0.0,TE
Ameer Abdullah,2020,1.62,98,26.0,RB
Melvin Gordon III,2020,12.16,15,182.4,RB
Derek Watt,2020,0.0,163,0.0,RB
Nick Vannett,2020,1.5,65,22.5,TE
Devin Smith,2020,0.0,0,0.0,WR
Raheem Mostert,2020,11.46,46,91.7,RB
Charone Peake,2020,0.0,0,0.0,WR
Adam Humphries,2020,6.61,108,46.3,WR
Jalen Tolliver,2020,0.0,0,0.0,WR
Austin Seibert,2020,4.8,37,24.0,K
Darvin Kidsy,2020,0.0,0,0.0,WR
Detrez Newsome,2020,0.0,0,0.0,RB
Dalton Schultz,2020,7.19,16,115.0,TE
Christian McCaffrey,2020,27.3,50,81.9,RB
Matt Dayes,2020,0.0,0,0.0,RB
Chris Moore,2020,0.0,214,0.0,WR
DeVante Parker,2020,9.63,46,134.8,WR
Trevor Siemian,2020,0.0,0,0.0,QB
Eli Rogers,2020,0.0,0,0.0,WR
Marquez Valdes-Scantling,2020,7.55,56,120.8,WR
Matt Bryant,2020,0.0,0,0.0,K
Max McCaffrey,2020,0.0,0,0.0,WR
Ricky Seals-Jones,2020,0.0,112,0.0,TE
Ross Travis,2020,0.0,112,0.0,TE
La'Mical Perine,2020,4.7,72,47.0,RB
Jordan Wilkins,2020,3.69,64,55.3,RB
Freddie Swain,2020,2.15,122,34.4,WR
Eddy Pineiro,2020,0.0,0,0.0,K
Laquon Treadwell,2020,3.98,156,19.9,WR
Adam Shaheen,2020,2.44,49,39.0,TE
Krishawn Hogan,2020,0.0,0,0.0,WR
Austin Ekeler,2020,13.83,31,138.3,RB
Daniel Carlson,2020,9.56,3,153.0,K
Peyton Barber,2020,3.31,67,53.0,RB
Jameis Winston,2020,0.6,63,2.4,QB
Jamison Crowder,2020,11.88,35,142.52,WR
J'Mon Moore,2020,0.0,0,0.0,WR
Duke Johnson,2020,6.4,56,70.4,RB
Evan Engram,2020,6.84,15,109.5,TE
Quincy Adeboyejo,2020,0.0,0,0.0,WR
Riley Ridley,2020,1.18,180,5.9,WR
David Grinnage,2020,0.0,0,0.0,TE
Isaac Nauta,2020,0.11,157,0.8,RB
Mecole Hardman,2020,6.72,54,107.6,WR
Jacob Eason,2020,0.0,0,0.0,QB
Elijah Holyfield,2020,0.0,163,0.0,RB
Rashad Greene,2020,0.0,0,0.0,WR
Jason Witten,2020,1.59,60,25.4,TE
Gus Edwards,2020,7.73,35,123.7,RB
Stacy Coley,2020,0.0,0,0.0,WR
Tyrie Cleveland,2020,0.93,196,9.3,WR
Nick O'Leary,2020,0.0,0,0.0,TE
Benny Snell Jr.,2020,4.37,59,69.9,RB
Stephen Anderson,2020,0.91,82,14.6,TE
Trey Edmunds,2020,0.0,163,0.0,RB
Charlie Woerner,2020,0.36,93,5.1,TE
Javon Wims,2020,1.08,160,14.0,WR
Maurice Harris,2020,0.0,0,0.0,WR
Johnny Mundt,2020,0.46,83,7.3,TE
Albert Okwuegbunam,2020,5.9,63,23.6,TE
River Cracraft,2020,0.79,190,7.1,WR
Damarea Crockett,2020,0.0,0,0.0,RB
Scottie Phillips,2020,0.26,144,2.1,RB
Darren Waller,2020,14.07,2,225.1,TE
Luke Falk,2020,0.0,0,0.0,QB
Khalfani Muhammad,2020,0.0,0,0.0,RB
Darrell Daniels,2020,1.6,68,19.2,TE
Phillip Lindsay,2020,5.68,62,62.5,RB
Marquez Callaway,2020,2.89,133,31.8,WR
Marcus Mariota,2020,25.84,47,25.84,QB
J.P. Holtz,2020,0.0,112,0.0,TE
John Ross III,2020,0.9,197,2.7,WR
Trayveon Williams,2020,1.92,118,19.2,RB
Ty Montgomery,2020,2.38,138,14.3,RB
Jake Kumerow,2020,1.45,172,8.7,WR
Jordan Thomas,2020,1.13,86,6.8,TE
Brett Hundley,2020,0.0,0,0.0,QB
Moritz Bohringer,2020,0.0,0,0.0,TE
Matthew McCrane,2020,0.0,0,0.0,K
Keenan Reynolds,2020,0.0,0,0.0,WR
Stephen Sullivan,2020,0.0,112,0.0,TE
Austin Roberts,2020,0.0,0,0.0,TE
Tre Madden,2020,0.0,0,0.0,RB
Cody Kessler,2020,0.0,0,0.0,QB
Jordan Lasley,2020,0.0,0,0.0,WR
Javorius Allen,2020,0.0,0,0.0,RB
Denzel Mims,2020,5.47,107,49.2,WR
Tyler Lockett,2020,13.46,13,215.4,WR
Tim Patrick,2020,9.05,39,135.7,WR
Dalyn Dawkins,2020,0.0,0,0.0,RB
Danny Etling,2020,0.0,0,0.0,QB
Chase McLaughlin,2020,4.75,38,19.0,K
Dak Prescott,2020,27.03,30,135.14,QB
Isaiah Coulter,2020,0.0,214,0.0,WR
David Montgomery,2020,15.85,6,237.8,RB
James Robinson,2020,16.14,4,225.9,RB
Davis Webb,2020,0.0,0,0.0,QB
Baker Mayfield,2020,15.51,18,248.12,QB
Gabe Nabers,2020,1.11,101,17.7,RB
Aldrick Rosas,2020,6.0,33,36.0,K
Dylan Cantrell,2020,0.0,0,0.0,WR
Keith Ford,2020,0.0,0,0.0,RB
Michael Pittman Jr.,2020,6.07,80,78.9,WR
Zack Moss,2020,7.28,45,94.6,RB
Tyler Huntley,2020,1.45,64,2.9,QB
Maxx Williams,2020,2.24,67,20.2,TE
Eric Tomlinson,2020,0.0,112,0.0,TE
Bradley Marquez,2020,0.0,0,0.0,WR
DeAndre Washington,2020,3.65,110,14.6,RB
Damiere Byrd,2020,5.71,66,91.4,WR
Antonio Gates,2020,0.0,0,0.0,TE
Jakeem Grant,2020,4.95,85,69.3,WR
Quintez Cephus,2020,4.38,110,56.9,WR
Rod Smith,2020,0.0,0,0.0,RB
Alex Ellis,2020,0.0,0,0.0,TE
Brandon Wilds,2020,0.0,0,0.0,RB
Will Fuller V,2020,14.76,25,162.4,WR
Durham Smythe,2020,3.05,44,45.8,TE
Garrett Griffin,2020,0.0,112,0.0,TE
Eli Manning,2020,0.0,0,0.0,QB
Larry Fitzgerald,2020,5.68,82,73.9,WR
Philip Rivers,2020,15.0,19,239.96,QB
Ben Roethlisberger,2020,17.81,12,267.22,QB
Darius Jennings,2020,0.0,0,0.0,WR
Ricardo Louis,2020,0.0,0,0.0,WR
Ben Watson,2020,0.0,0,0.0,TE
Matt Gay,2020,9.14,30,64.0,K
Matt Schaub,2020,-0.4,77,-0.4,QB
Kelvin Harmon,2020,0.0,0,0.0,WR
Nate Stanley,2020,0.0,0,0.0,QB
Noah Fant,2020,7.89,13,118.3,TE
T.J. Hockenson,2020,8.86,4,141.8,TE
Dominique Dafney,2020,1.92,98,9.6,TE
Thaddeus Moss,2020,0.0,0,0.0,TE
Sean McKeon,2020,0.0,112,0.0,TE
Byron Marshall,2020,0.0,0,0.0,RB
Evan Baylis,2020,0.0,112,0.0,TE
Auden Tate,2020,2.44,143,22.0,WR
Pharaoh Brown,2020,2.72,66,35.3,TE
Michael Gallup,2020,8.99,36,143.8,WR
Fred Brown,2020,0.0,214,0.0,WR
Cedrick Wilson,2020,2.7,114,43.12,WR
Clive Walford,2020,0.0,0,0.0,TE
John Lovett,2020,0.08,160,0.6,RB
Byron Pringle,2020,2.65,146,34.5,WR
Justin Watson,2020,1.17,163,12.9,WR
Jordan Love,2020,0.0,0,0.0,QB
Josh Oliver,2020,0.0,0,0.0,TE
Sean Culkin,2020,0.0,112,0.0,TE
Hunter Renfrow,2020,6.48,60,103.6,WR
Jaeden Graham,2020,0.25,94,4.0,TE
Darrynton Evans,2020,3.02,109,15.1,RB
Ka'imi Fairbairn,2020,8.0,18,128.0,K
Marvin Hall,2020,4.28,102,51.3,WR
Paul Perkins,2020,0.0,0,0.0,RB
Josh Perkins,2020,0.0,0,0.0,TE
Alexander Hollins,2020,0.0,0,0.0,WR
Nelson Agholor,2020,10.1,30,161.6,WR
Marcus Johnson,2020,2.95,126,32.5,WR
Jacoby Brissett,2020,1.87,48,20.58,QB
Geremy Davis,2020,0.0,0,0.0,WR
Chris Conley,2020,5.14,92,77.1,WR
Chase Edmonds,2020,8.84,26,141.5,RB
JoJo Natson,2020,0.1,213,0.3,WR
Jeff Badet,2020,0.0,214,0.0,WR
Jordan Chunn,2020,0.0,0,0.0,RB
Tommy Stevens,2020,2.4,0,2.4,TE
Kenneth Dixon,2020,0.0,0,0.0,RB
Jon Brown,2020,3.0,42,3.0,K
Nsimba Webster,2020,-0.12,249,-2.0,WR
Emmanuel Butler,2020,0.0,0,0.0,WR
Kyle Sloter,2020,0.0,0,0.0,QB
Jalen Richard,2020,3.2,78,41.6,RB
Jason Moore,2020,0.0,214,0.0,WR
Cyril Grayson,2020,0.0,214,0.0,WR
Greg Dortch,2020,0.0,0,0.0,WR
Jonnu Smith,2020,7.98,9,119.7,TE
Tra Carson,2020,0.0,0,0.0,RB
Jason Croom,2020,1.7,86,6.8,TE
Riley McCarron,2020,0.0,0,0.0,WR
Nathan Peterman,2020,1.9,66,1.9,QB
Mason Schreck,2020,0.0,112,0.0,TE
Breshad Perriman,2020,7.01,81,84.1,WR
Cooper Rush,2020,0.0,0,0.0,QB
Neal Sterling,2020,0.0,0,0.0,TE
Travis Homer,2020,3.14,88,28.3,RB
Joe Reed,2020,0.81,170,8.9,WR
Taylor Russolino,2020,0.0,44,0.0,K
Dezmon Patmon,2020,0.0,0,0.0,WR
Ross Dwelley,2020,2.5,48,40.0,TE
Phillip Dorsett II,2020,0.0,0,0.0,WR
Alvin Kamara,2020,22.42,1,336.3,RB
Robert Foster,2020,1.18,188,4.7,WR
Marcus Murphy,2020,0.0,0,0.0,RB
JuJu Smith-Schuster,2020,11.6,18,185.6,WR
Blake Bell,2020,1.04,73,16.7,TE
Chris Thompson,2020,0.0,0,0.0,WR
Ben Koyack,2020,0.0,0,0.0,TE
Nick Fitzgerald,2020,0.0,0,0.0,QB
Ryquell Armstead,2020,0.0,0,0.0,RB
Easton Stick,2020,-0.04,75,-0.04,QB
Darrius Shepherd,2020,0.64,182,5.1,WR
Daurice Fountain,2020,0.66,192,3.3,WR
Keelan Cole Sr.,2020,7.99,42,127.9,WR
David Morgan,2020,0.0,0,0.0,TE
Cole McDonald,2020,0.0,0,0.0,QB
DeAndre Carter,2020,-0.05,247,-0.7,WR
Kalif Raymond,2020,1.53,140,22.9,WR
Justice Hill,2020,0.88,125,10.5,RB
Darius Anderson,2020,0.0,0,0.0,RB
Gardner Minshew II,2020,17.8,25,160.16,QB
Dallas Goedert,2020,8.49,19,93.4,TE
Keelan Doss,2020,0.0,214,0.0,WR
Temarrick Hemingway,2020,0.19,105,1.5,TE
C.J. Board,2020,1.14,158,15.9,WR
Sewo Olonilua,2020,0.0,163,0.0,RB
Chris Manhertz,2020,0.51,79,8.2,TE
Anthony Gordon,2020,0.0,0,0.0,QB
Rico Dowdle,2020,0.16,142,2.4,RB
