player_name,year,ppg,pos_rank,total_points,pos
Antonio Gandy-Golden,2020,0.5,194,3.0,WR
Darren Fells,2020,4.11,26,65.7,TE
Kalen Ballage,2020,7.22,57,79.4,RB
Tavon Austin,2020,0.62,192,2.5,WR
Terry Godwin,2020,1.67,214,5.0,WR
Tyler Eifert,2020,4.33,29,64.9,TE
Isaiah McKenzie,2020,5.29,99,84.58,WR
DeAndre Hopkins,2020,14.39,6,230.3,WR
Sony Michel,2020,7.98,69,71.8,RB
Rodrigo Blankenship,2020,9.06,5,145.0,K
Nick Chubb,2020,16.64,11,199.7,RB
Cordarrelle Patterson,2020,3.68,98,58.9,RB
Keenan Allen,2020,13.94,11,195.1,WR
Le'Veon Bell,2020,6.05,61,66.6,RB
Giovani Bernard,2020,8.41,27,134.6,RB
Zach Ertz,2020,5.41,33,59.5,TE
Mike Glennon,2020,12.12,43,60.58,QB
Marquise Goodwin,2020,0.0,0,0.0,WR
Justin Hunter,2020,0.0,0,0.0,WR
Travis Kelce,2020,17.35,1,260.26,TE
Vance McDonald,2020,1.24,77,17.4,TE
Christine Michael,2020,0.0,0,0.0,RB
C.J. Conrad,2020,0.0,0,0.0,TE
Jordan Reed,2020,6.01,31,60.1,TE
Geno Smith,2020,1.12,70,1.12,QB
Eno Benjamin,2020,0.0,0,0.0,RB
Markus Wheaton,2020,0.0,0,0.0,WR
Terrance Williams,2020,0.0,0,0.0,WR
Robert Woods,2020,12.51,12,200.1,WR
Ryan Griffin,2020,0.87,75,13.1,TE
Brice Butler,2020,0.0,0,0.0,WR
Caleb Sturgis,2020,0.0,0,0.0,K
Latavius Murray,2020,8.31,30,124.7,RB
Kenjon Barner,2020,0.0,163,0.0,RB
Michael Walker,2020,0.0,0,0.0,WR
Alex McGough,2020,0.0,0,0.0,QB
Matt Barkley,2020,1.86,71,9.28,QB
Mike Gillislee,2020,0.0,0,0.0,RB
Preston Williams,2020,8.22,89,65.8,WR
John Kelly,2020,0.0,0,0.0,RB
Dustin Hopkins,2020,7.56,18,121.0,K
Chris Thompson,2020,4.08,83,32.6,RB
Rex Burkhead,2020,9.51,43,95.1,RB
Tommy Bohanon,2020,0.0,0,0.0,RB
Dion Sims,2020,0.0,0,0.0,TE
Levine Toilolo,2020,0.44,88,7.1,TE
Theo Riddick,2020,2.05,143,8.2,RB
Kyle Juszczyk,2020,4.51,55,72.1,RB
Kenny Stills,2020,2.59,131,25.9,WR
Spencer Ware,2020,0.0,0,0.0,RB
Laviska Shenault Jr.,2020,9.15,53,128.1,WR
D'Andre Swift,2020,12.83,20,166.8,RB
Devin Asiasi,2020,1.21,112,10.9,TE
C.J. Anderson,2020,0.0,0,0.0,RB
Benny Cunningham,2020,0.0,0,0.0,RB
Ty Johnson,2020,4.25,71,55.3,RB
DJ Moore,2020,11.9,22,178.5,WR
Tim White,2020,0.0,0,0.0,WR
KJ Hill Jr.,2020,0.59,171,8.8,WR
Stephen Carlson,2020,0.1,104,1.6,TE
Joe Burrow,2020,17.37,23,173.72,QB
Tyler Conklin,2020,2.18,57,34.9,TE
Luke Willson,2020,0.21,100,1.7,TE
Ryan Griffin,2020,0.0,0,0.0,QB
Josh Hill,2020,1.04,74,14.6,TE
Kelvin McKnight,2020,0.0,0,0.0,WR
